experiment,case,sample,arm,outcome,elapsed_ms,input_tokens,output_tokens,actual_provider,generation_id
decision-replay-complete,exhausted-evidence,0,baseline,AI_NoOutputGeneratedError,39059,,,,
decision-replay-complete,exhausted-evidence,0,candidate,correct,3347,7738,288,fireworks,gen_01M28DF56MRRSK823HC82FG49N
decision-replay-complete,fresh-discriminating-evidence,0,baseline,correct,4974,7577,253,fireworks,gen_01M28DFATBD51YNEDTD38TB616
decision-replay-complete,fresh-discriminating-evidence,0,candidate,correct,3092,7687,262,fireworks,gen_01M28DFDAJ0MQD11WM1KR1PJ8S
decision-replay-complete,new-code-conflict,0,baseline,correct,2410,7543,295,fireworks,gen_01M28DFGAZVJ4CYXFDAZE2505P
decision-replay-complete,new-code-conflict,0,candidate,correct,2478,7653,265,fireworks,gen_01M28DFJP3YYHQTH5DBTS94FMH
decision-replay-complete,exhausted-evidence,1,candidate,correct,15352,7738,1139,fireworks,gen_01M28DFN3KX4PCVXJMR77P2DGR
decision-replay-complete,exhausted-evidence,1,baseline,correct,13512,7628,892,fireworks,gen_01M28DG4361A9GNKH0WA7F67Y0
decision-replay-complete,fresh-discriminating-evidence,1,candidate,AI_RetryError,7462,,,,
decision-replay-complete,fresh-discriminating-evidence,1,baseline,AI_RetryError,7385,,,,
decision-replay-complete,new-code-conflict,1,candidate,AI_RetryError,7371,,,,
decision-replay-deepinfra,exhausted-evidence,0,baseline,correct,9292,7483,113,deepinfra,gen_01M28DHP4ZKEFM2X6DTSKFRJKA
decision-replay-deepinfra,exhausted-evidence,0,candidate,correct,10469,7593,145,deepinfra,gen_01M28DHZ40Z3R50E3PP98M7758
decision-replay-deepinfra,fresh-discriminating-evidence,0,baseline,AI_RetryError,7165,,,,
decision-replay-deepinfra,fresh-discriminating-evidence,0,candidate,correct,28099,7542,132,deepinfra,gen_01M28DJQ9PK65B58MDZQ6A5D4V
decision-replay-deepinfra,new-code-conflict,0,baseline,AI_RetryError,7832,,,,
decision-replay-deepinfra,new-code-conflict,0,candidate,incorrect,25221,7508,120,deepinfra,gen_01M28DKNZ5N9X9BP0RG65D1RBJ
decision-replay-deepinfra,exhausted-evidence,1,candidate,correct,30856,7593,55,deepinfra,gen_01M28DMC1WE9M7PABWT91S2ZG2
decision-replay-deepinfra,exhausted-evidence,1,baseline,AI_RetryError,7076,,,,
decision-replay-deepinfra,fresh-discriminating-evidence,1,candidate,AI_RetryError,7256,,,,
decision-replay-deepinfra,fresh-discriminating-evidence,1,baseline,incorrect,51107,7432,208,deepinfra,gen_01M28DNZ4R6NWTZPPJFTQ2BW2Z
decision-replay-deepinfra,new-code-conflict,1,candidate,incorrect,8579,7508,132,deepinfra,gen_01M28DQA7BJPP378HBVJ15AP7V
decision-replay-deepinfra,new-code-conflict,1,baseline,correct,4440,7398,107,deepinfra,gen_01M28DQJFZQ96GXWPE49M0XKX0
executor-replay,mcp,0,baseline,correct,1093,404,70,fireworks,gen_01M28DFVFBJH6G1A0AZ6EM3XEG
executor-replay,mcp,0,candidate,correct,11634,497,59,fireworks,gen_01M28DFWHXJMB411Z9TBKBQB26
executor-replay,rest,0,baseline,correct,2473,389,60,fireworks,gen_01M28DG7XQXPKKBAWE8ESPEHAX
executor-replay,rest,0,candidate,correct,2320,482,40,fireworks,gen_01M28DGA6SBP4WDF5EZG5F2HNK
executor-replay,provider-error,0,baseline,correct,1003,398,84,fireworks,gen_01M28DGCFKP6GZD2AT287QET61
executor-replay,provider-error,0,candidate,AI_RetryError,7298,,,,
executor-replay,denied,0,baseline,AI_RetryError,10851,,,,
executor-replay,denied,0,candidate,AI_RetryError,7327,,,,
executor-replay,mcp,1,candidate,correct,3757,497,80,fireworks,gen_01M28DH934QWHBR57MZ085WGXZ
executor-replay,mcp,1,baseline,correct,968,404,71,fireworks,gen_01M28DHA06G4K3TK2ST8DCSWYX
executor-replay,rest,1,candidate,correct,738,482,47,fireworks,gen_01M28DHAY6TJ6S322MK7ASZFJS
executor-replay,rest,1,baseline,correct,1168,389,78,fireworks,gen_01M28DHBN62AZX2WASEQB1FVV8
