step,generation_id,provider,generation_ms,ttft_ms,output_tokens,cached_tokens,byok
0,gen_01M28EZNZR54SM4D1C1538K1AW,fireworks,3387,720,156,25716,False
1,gen_01M28EZTGTTPT39QH82BBYY4XK,fireworks,5799,4655,161,26416,False
2,gen_01M28F0112564HQ5H8E3KXQCKW,fireworks,2442,1187,72,36186,False
3,gen_01M28F04GC8NMXD7T82J30PNAW,wafer,4971,4347,118,16384,False
4,gen_01M28F0ABWQGYJJ8AE0DYHNTQH,wafer,7383,5525,233,41472,False
5,gen_01M28F0MCKVGEXM21MM9576TC9,wafer,15125,3677,275,45312,False
6,gen_01M28F15900C4ZN2907CSAD01B,fireworks,18214,9562,488,38408,False
7,gen_01M28F231Z5V9RBH5PP8R3H8JX,fireworks,22412,21093,100,34240,False
8,gen_01M28F2T2Z8CVR7DC630FV9145,fireworks,2808,2207,136,78324,False
9,gen_01M28F2XTSBPPV780ZWZP6TY3A,fireworks,3238,2648,110,78870,False
10,gen_01M28F32601926XGGA7VN5Z1Z4,wafer,7365,5423,223,30464,False
11,gen_01M28F3ATN4KJW4B0Z4GYQTSQY,wafer,5282,4357,139,80128,False
12,gen_01M28F3H49WAS6VJ00H9T5F7FH,wafer,8310,6716,204,80640,False
13,gen_01M28F3TEFPKMYJV6BAM3WAY69,wafer,6042,4645,178,81664,False
14,gen_01M28F41KHFBAHA45GE09B7KVN,fireworks,9567,3550,221,80810,False
15,gen_01M28F4HG9P7JRS3P74SR02S1W,fireworks,2865,806,142,85846,False
16,gen_01M28F4P651N5GMDKWA9NKM918,fireworks,1594,858,114,87890,False
17,gen_01M28F4S1YK9K9XF9CF70ZN5KB,baseten,5846,5457,38,0,False
18,gen_01M28F5M7DZ3SGRCRDMMDKRFD9,fireworks,1355,1104,71,88498,False
19,gen_01M28F5RVS6TGKSRRDTBBXDN87,wafer,6057,4241,276,82944,False
20,gen_01M28F62CFPSZS6YWPYBSYABCJ,deepinfra,24215,16826,106,3072,False
21,gen_01M28F6X7NAPCQ9RPS2EH9FCRJ,fireworks,3054,1983,281,88852,False
22,gen_01M28F7381XTKDPQ1B8VQNY3P8,fireworks,2909,953,184,90718,False
23,gen_01M28F7GJWPDVKNT4HRS128PK7,fireworks,4447,855,295,91554,False
24,gen_01M28F7T0HAZMVERZNF5W541JV,baseten,5112,1366,268,88832,False
25,gen_01M28F83TR7PF66BTXJ9F94H6W,baseten,16757,2763,405,101376,False
26,gen_01M28F8S5S9WBHGBGP7G9069EB,wafer,8895,7756,206,86272,False
27,gen_01M28F93HPVYPKCS147QB6NE88,fireworks,31087,25094,155,93184,False
28,gen_01M28FA3F23AXDV5WFRHD4HGH6,fireworks,3176,1228,176,143880,False
29,gen_01M28FATTZVM1S7DS9ZA8VA762,deepinfra,49535,25743,241,0,False
30,gen_01M28FCS5401B8E103K2MDYEAQ,fireworks,5755,4401,163,146048,False
31,gen_01M28FD2S1W04XWBQ5YY63GEMT,fireworks,3632,1997,72,153054,False
32,gen_01M28FD84F5WWS4FSWRP1JSNF3,fireworks,5345,3972,158,156536,False
33,gen_01M28FDFKP1KVFJEYQJQGWYP40,fireworks,5084,2638,119,156860,False
34,gen_01M28FDPJ8PM56BWW6R582EE49,wafer,7816,7374,73,133376,False
35,gen_01M28FE00BC34F3X8QH724QM2E,fireworks,54335,49068,109,157218,False
36,gen_01M28FFRY31VANYNW31TRMB0D4,fireworks,6148,3419,216,159416,False
37,gen_01M28FG136Q1ACPEQWA03CTHM0,fireworks,24981,7121,269,160158,False
38,gen_01M28FGTX95FQSA7SF2NV8Q72P,fireworks,2708,2215,81,170522,False
39,gen_01M28FGYQAZV577HG6F0CKMX2D,fireworks,4494,1515,132,173406,False
40,gen_01M28FH4W752YQYD2BX6NHDR0H,fireworks,2953,1692,135,175024,False
41,gen_01M28FH9R8JHH1N8ZFNQ4DV7NG,fireworks,3204,1728,73,176808,False
43,gen_01M28FHMHS9EKMG0290MX99W4M,fireworks,3751,1707,185,178670,False
42,gen_01M28FHEBYNXWH5CT62EX9P29X,fireworks,2856,1315,114,177098,False
44,gen_01M28FHY5DKVS086968CASGF9B,deepinfra,12875,6674,235,137984,False
45,gen_01M28FJEJG83GHVWMRQGST3GD7,wafer,14135,12596,233,32768,False
46,gen_01M28FK1NBAQ2FWNPC1C7HSEV8,fireworks,10302,3149,374,179830,False
47,gen_01M28FKKRDE4GTAEHDWZBNSE58,fireworks,10511,1441,419,183104,False
48,gen_01M28FMGRTXAYPTF5NFRDVZBSS,fireworks,13697,7012,732,184478,False
49,gen_01M28FNQ7SJFS4HPJDMJHQRBMD,fireworks,21912,1394,260,185820,False
50,gen_01M28FPHZHFZG80SF2PSKQ1KG8,fireworks,4114,1409,222,188138,False
51,gen_01M28FPQEB182T25D13KFFF3SH,wafer,6017,5334,121,169216,False
52,gen_01M28FPYQB5WHES3N3JQ66TT7D,wafer,6755,5404,242,176384,False
53,gen_01M28FQ7EW5H5T5KW9RPZM8QMS,wafer,7285,5606,295,177152,False
54,gen_01M28FQMKKPAMST8YVBY8X0R6Z,fireworks,45546,4439,242,191146,False
