step,generation_id,provider,generation_ms,ttft_ms,output_tokens,cached_tokens,byok
0,gen_01M2867QWZXPFN52AAJ2DSGSF7,deepinfra,7484,2750,80,33792,False
1,gen_01M28680AEPEHEP02D4EVZA3C7,deepinfra,27266,23880,114,34176,False
2,gen_01M2868W1QFFZQ3VAAP289Z472,fireworks,5644,3332,116,33764,False
3,gen_01M28692YN4P3NEWQ9FGYEDJG0,fireworks,7658,5563,185,34446,False
4,gen_01M2869GAQ330AEZTFTJ06VE3K,fireworks,2039,752,70,44668,False
5,gen_01M2869M0Q6A51X9AP0DF2X6Q2,deepinfra,6585,5218,93,3840,False
6,gen_01M2869VP7RPFWKAX0Y5VR50HR,deepinfra,36949,30343,104,49920,False
7,gen_01M286B1QABS6E2W6MTPVMWA2A,baseten,3976,3460,173,0,False
8,gen_01M286B7GB6PME11B1R0FRKEZQ,fireworks,5667,4727,220,47424,False
9,gen_01M286BESKDF5ZBYNXZKN21K4V,fireworks,9032,3773,214,56724,False
10,gen_01M286C2GDMXJN0YX5MRK2FFZQ,deepinfra,29333,4526,480,3072,False
11,gen_01M286DM887AVE8D3ENWMRG93W,fireworks,6188,3049,155,62052,False
12,gen_01M286E6BKRE03R6EFJMH38DYJ,baseten,2497,2468,88,55552,False
13,gen_01M286E9SMVGXYNRGTMQ5NK7F5,deepinfra,39702,27039,209,51456,False
14,gen_01M286FHXW4S51CX73XYMY1S4K,fireworks,12077,7782,174,69794,False
15,gen_01M286FZ0RXGPYTWST5ASWTGKQ,fireworks,4985,2840,165,73804,False
16,gen_01M286G8HA080T51TT6SNK8CVF,deepinfra,18629,14672,187,72576,False
17,gen_01M286GW3AWJDGXN28WPPX48SF,deepinfra,18352,16814,214,3840,False
18,gen_01M286HFB8SESYGX4XJCRQ4YDG,fireworks,11210,2748,131,74946,False
19,gen_01M286HY1P3Y3HFYBEJ0NV070P,deepinfra,18820,15869,138,63360,False
20,gen_01M286JVCCV7ACFEQMJ315Y273,fireworks,4044,2354,174,79880,False
21,gen_01M286KB0VG4YMHDXNHJEHSBPQ,fireworks,4193,2732,118,82574,False
22,gen_01M286KYARG5HCRJ7PYPK1YTC9,deepinfra,46597,38170,216,77312,False
23,gen_01M286NP03VE0VNVV8NMSDC4EA,baseten,3452,1572,157,72448,False
24,gen_01M286P3CJV53KMNRCBW4YHKAF,fireworks,5397,3918,72,83548,False
